step,day,hour,timestamp,photosynthesis_simulator_net_assimilation_rate,photosynthesis_simulator_gross_photosynthesis_rate,photosynthesis_simulator_respiration_rate,photosynthesis_simulator_light_use_efficiency,photosynthesis_simulator_co2_uptake_rate,photosynthesis_simulator_cumulative_carbon_gained,photosynthesis_simulator_daily_carbon_gained,photosynthesis_simulator_leaf_temperature,photosynthesis_simulator_temperature_stress_factor,photosynthesis_simulator_light_stress_factor,photosynthesis_simulator_step_count,photosynthesis_simulator_last_update
475,20,18,2025-09-29 00:13:22.508342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
476,20,19,2025-09-29 00:13:22.538613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
477,20,20,2025-09-29 00:13:22.569199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
478,20,21,2025-09-29 00:13:22.599811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
479,20,22,2025-09-29 00:13:22.630361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
480,20,23,2025-09-29 00:13:22.660921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
481,21,0,2025-09-29 00:13:22.691531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
482,21,1,2025-09-29 00:13:22.722258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
483,21,2,2025-09-29 00:13:22.752740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
484,21,3,2025-09-29 00:13:22.783323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
485,21,4,2025-09-29 00:13:22.813652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
486,21,5,2025-09-29 00:13:22.844264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
487,21,6,2025-09-29 00:13:22.875221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
488,21,7,2025-09-29 00:13:22.905699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
489,21,8,2025-09-29 00:13:22.936364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
490,21,9,2025-09-29 00:13:22.966919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
491,21,10,2025-09-29 00:13:22.997534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
492,21,11,2025-09-29 00:13:23.027873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
493,21,12,2025-09-29 00:13:23.058427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
494,21,13,2025-09-29 00:13:23.088740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
495,21,14,2025-09-29 00:13:23.119260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
496,21,15,2025-09-29 00:13:23.149781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
497,21,16,2025-09-29 00:13:23.180328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
498,21,17,2025-09-29 00:13:23.210798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
499,21,18,2025-09-29 00:13:23.241464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
500,21,19,2025-09-29 00:13:23.271994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
501,21,20,2025-09-29 00:13:23.302702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
502,21,21,2025-09-29 00:13:23.333188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
503,21,22,2025-09-29 00:13:23.363848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
504,21,23,2025-09-29 00:13:23.394587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0,2025-09-29T00:13:08.027782
